SocketConnector.h:380: Constructor
SocketConnector.cpp:992: RootThread started
SocketConnector.cpp:123: SocketThread started for type 1
SocketConnector.cpp:164: creating socket for type 1
SocketConnector.cpp:250: waiting for client connect 
SocketConnector.cpp:123: SocketThread started for type 0
SocketConnector.cpp:164: creating socket for type 0
SocketConnector.cpp:250: waiting for client connect 
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
SocketConnector.h:584: IsConnected false
