2019-11-20 12:15:45 startup archives install
2019-11-20 12:15:45 install base-passwd:i386 <none> 3.5.43
2019-11-20 12:15:45 status half-installed base-passwd:i386 3.5.43
2019-11-20 12:15:45 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:45 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:45 configure base-passwd:i386 3.5.43 3.5.43
2019-11-20 12:15:45 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:45 status half-configured base-passwd:i386 3.5.43
2019-11-20 12:15:45 status installed base-passwd:i386 3.5.43
2019-11-20 12:15:45 startup archives install
2019-11-20 12:15:45 install base-files:i386 <none> 9.9+deb9u11
2019-11-20 12:15:45 status half-installed base-files:i386 9.9+deb9u11
2019-11-20 12:15:45 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:45 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:45 configure base-files:i386 9.9+deb9u11 9.9+deb9u11
2019-11-20 12:15:45 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:45 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:45 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status half-configured base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 status installed base-files:i386 9.9+deb9u11
2019-11-20 12:15:46 startup archives install
2019-11-20 12:15:46 upgrade dpkg 1.18.25 1.18.25
2019-11-20 12:15:46 status half-configured dpkg 1.18.25
2019-11-20 12:15:46 status unpacked dpkg 1.18.25
2019-11-20 12:15:46 status half-installed dpkg 1.18.25
2019-11-20 12:15:46 status half-installed dpkg 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 configure dpkg:i386 1.18.25 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:47 status half-configured dpkg:i386 1.18.25
2019-11-20 12:15:47 status installed dpkg:i386 1.18.25
2019-11-20 12:15:47 startup archives install
2019-11-20 12:15:47 install libc6:i386 <none> 2.24-11+deb9u4
2019-11-20 12:15:47 status half-installed libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 configure libc6:i386 2.24-11+deb9u4 2.24-11+deb9u4
2019-11-20 12:15:48 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 status half-configured libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 status installed libc6:i386 2.24-11+deb9u4
2019-11-20 12:15:48 startup archives install
2019-11-20 12:15:49 install perl-base:i386 <none> 5.24.1-3+deb9u5
2019-11-20 12:15:49 status half-installed perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 configure perl-base:i386 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2019-11-20 12:15:50 status unpacked perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 status half-configured perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 status installed perl-base:i386 5.24.1-3+deb9u5
2019-11-20 12:15:50 startup archives install
2019-11-20 12:15:50 install mawk:i386 <none> 1.3.3-17+b3
2019-11-20 12:15:50 status half-installed mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 configure mawk:i386 1.3.3-17+b3 1.3.3-17+b3
2019-11-20 12:15:50 status unpacked mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 status half-configured mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 status installed mawk:i386 1.3.3-17+b3
2019-11-20 12:15:50 startup archives install
2019-11-20 12:15:51 install debconf:all <none> 1.5.61
2019-11-20 12:15:51 status half-installed debconf:all 1.5.61
2019-11-20 12:15:51 status unpacked debconf:all 1.5.61
2019-11-20 12:15:51 status unpacked debconf:all 1.5.61
2019-11-20 12:15:51 configure debconf:all 1.5.61 1.5.61
2019-11-20 12:15:51 status unpacked debconf:all 1.5.61
2019-11-20 12:15:51 status unpacked debconf:all 1.5.61
2019-11-20 12:15:51 status unpacked debconf:all 1.5.61
2019-11-20 12:15:51 status half-configured debconf:all 1.5.61
2019-11-20 12:15:51 status installed debconf:all 1.5.61
2019-11-20 12:15:52 startup archives unpack
2019-11-20 12:15:52 upgrade base-files:i386 9.9+deb9u11 9.9+deb9u11
2019-11-20 12:15:52 status half-configured base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 status half-installed base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 status half-installed base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 status unpacked base-files:i386 9.9+deb9u11
2019-11-20 12:15:52 upgrade base-passwd:i386 3.5.43 3.5.43
2019-11-20 12:15:52 status half-configured base-passwd:i386 3.5.43
2019-11-20 12:15:52 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:52 status half-installed base-passwd:i386 3.5.43
2019-11-20 12:15:52 status half-installed base-passwd:i386 3.5.43
2019-11-20 12:15:52 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:52 status unpacked base-passwd:i386 3.5.43
2019-11-20 12:15:53 install bash:i386 <none> 4.4-5
2019-11-20 12:15:53 status half-installed bash:i386 4.4-5
2019-11-20 12:15:53 status unpacked bash:i386 4.4-5
2019-11-20 12:15:53 status unpacked bash:i386 4.4-5
2019-11-20 12:15:53 install bsdutils:i386 <none> 1:2.29.2-1+deb9u1
2019-11-20 12:15:53 status half-installed bsdutils:i386 1:2.29.2-1+deb9u1
2019-11-20 12:15:53 status unpacked bsdutils:i386 1:2.29.2-1+deb9u1
2019-11-20 12:15:53 status unpacked bsdutils:i386 1:2.29.2-1+deb9u1
2019-11-20 12:15:53 install coreutils:i386 <none> 8.26-3
2019-11-20 12:15:53 status half-installed coreutils:i386 8.26-3
2019-11-20 12:15:54 status unpacked coreutils:i386 8.26-3
2019-11-20 12:15:54 status unpacked coreutils:i386 8.26-3
2019-11-20 12:15:54 install dash:i386 <none> 0.5.8-2.4
2019-11-20 12:15:54 status half-installed dash:i386 0.5.8-2.4
2019-11-20 12:15:54 status unpacked dash:i386 0.5.8-2.4
2019-11-20 12:15:54 status unpacked dash:i386 0.5.8-2.4
2019-11-20 12:15:55 upgrade debconf:all 1.5.61 1.5.61
2019-11-20 12:15:55 status half-configured debconf:all 1.5.61
2019-11-20 12:15:55 status unpacked debconf:all 1.5.61
2019-11-20 12:15:55 status half-installed debconf:all 1.5.61
2019-11-20 12:15:55 status half-installed debconf:all 1.5.61
2019-11-20 12:15:55 status unpacked debconf:all 1.5.61
2019-11-20 12:15:55 status unpacked debconf:all 1.5.61
2019-11-20 12:15:55 install debianutils:i386 <none> 4.8.1.1
2019-11-20 12:15:55 status half-installed debianutils:i386 4.8.1.1
2019-11-20 12:15:55 status unpacked debianutils:i386 4.8.1.1
2019-11-20 12:15:55 status unpacked debianutils:i386 4.8.1.1
2019-11-20 12:15:56 install diffutils:i386 <none> 1:3.5-3
2019-11-20 12:15:56 status half-installed diffutils:i386 1:3.5-3
2019-11-20 12:15:56 status unpacked diffutils:i386 1:3.5-3
2019-11-20 12:15:56 status unpacked diffutils:i386 1:3.5-3
2019-11-20 12:15:56 upgrade dpkg:i386 1.18.25 1.18.25
2019-11-20 12:15:56 status half-configured dpkg:i386 1.18.25
2019-11-20 12:15:56 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:56 status half-installed dpkg:i386 1.18.25
2019-11-20 12:15:56 status half-installed dpkg:i386 1.18.25
2019-11-20 12:15:57 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:57 status unpacked dpkg:i386 1.18.25
2019-11-20 12:15:57 install e2fslibs:i386 <none> 1.43.4-2
2019-11-20 12:15:57 status half-installed e2fslibs:i386 1.43.4-2
2019-11-20 12:15:57 status unpacked e2fslibs:i386 1.43.4-2
2019-11-20 12:15:57 status unpacked e2fslibs:i386 1.43.4-2
2019-11-20 12:15:57 install e2fsprogs:i386 <none> 1.43.4-2
2019-11-20 12:15:57 status half-installed e2fsprogs:i386 1.43.4-2
2019-11-20 12:15:57 status unpacked e2fsprogs:i386 1.43.4-2
2019-11-20 12:15:57 status unpacked e2fsprogs:i386 1.43.4-2
2019-11-20 12:15:57 install findutils:i386 <none> 4.6.0+git+20161106-2
2019-11-20 12:15:57 status half-installed findutils:i386 4.6.0+git+20161106-2
2019-11-20 12:15:58 status unpacked findutils:i386 4.6.0+git+20161106-2
2019-11-20 12:15:58 status unpacked findutils:i386 4.6.0+git+20161106-2
2019-11-20 12:15:58 install gcc-6-base:i386 <none> 6.3.0-18+deb9u1
2019-11-20 12:15:58 status half-installed gcc-6-base:i386 6.3.0-18+deb9u1
2019-11-20 12:15:58 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
2019-11-20 12:15:58 status unpacked gcc-6-base:i386 6.3.0-18+deb9u1
2019-11-20 12:15:58 install grep:i386 <none> 2.27-2
2019-11-20 12:15:58 status half-installed grep:i386 2.27-2
2019-11-20 12:15:58 status unpacked grep:i386 2.27-2
2019-11-20 12:15:58 status unpacked grep:i386 2.27-2
2019-11-20 12:15:58 install gzip:i386 <none> 1.6-5+b1
2019-11-20 12:15:58 status half-installed gzip:i386 1.6-5+b1
2019-11-20 12:15:58 status unpacked gzip:i386 1.6-5+b1
2019-11-20 12:15:58 status unpacked gzip:i386 1.6-5+b1
2019-11-20 12:15:59 install hostname:i386 <none> 3.18+b1
2019-11-20 12:15:59 status half-installed hostname:i386 3.18+b1
2019-11-20 12:15:59 status unpacked hostname:i386 3.18+b1
2019-11-20 12:15:59 status unpacked hostname:i386 3.18+b1
2019-11-20 12:15:59 install init-system-helpers:all <none> 1.48
2019-11-20 12:15:59 status half-installed init-system-helpers:all 1.48
2019-11-20 12:15:59 status unpacked init-system-helpers:all 1.48
2019-11-20 12:15:59 status unpacked init-system-helpers:all 1.48
2019-11-20 12:15:59 install libacl1:i386 <none> 2.2.52-3+b1
2019-11-20 12:15:59 status half-installed libacl1:i386 2.2.52-3+b1
2019-11-20 12:15:59 status unpacked libacl1:i386 2.2.52-3+b1
2019-11-20 12:15:59 status unpacked libacl1:i386 2.2.52-3+b1
2019-11-20 12:15:59 install libattr1:i386 <none> 1:2.4.47-2+b2
2019-11-20 12:15:59 status half-installed libattr1:i386 1:2.4.47-2+b2
2019-11-20 12:15:59 status unpacked libattr1:i386 1:2.4.47-2+b2
2019-11-20 12:15:59 status unpacked libattr1:i386 1:2.4.47-2+b2
2019-11-20 12:15:59 install libaudit-common:all <none> 1:2.6.7-2
2019-11-20 12:15:59 status half-installed libaudit-common:all 1:2.6.7-2
2019-11-20 12:16:00 status unpacked libaudit-common:all 1:2.6.7-2
2019-11-20 12:16:00 status unpacked libaudit-common:all 1:2.6.7-2
2019-11-20 12:16:00 install libaudit1:i386 <none> 1:2.6.7-2
2019-11-20 12:16:00 status half-installed libaudit1:i386 1:2.6.7-2
2019-11-20 12:16:00 status unpacked libaudit1:i386 1:2.6.7-2
2019-11-20 12:16:00 status unpacked libaudit1:i386 1:2.6.7-2
2019-11-20 12:16:00 install libblkid1:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:00 status half-installed libblkid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:00 status unpacked libblkid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:00 status unpacked libblkid1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:00 install libbz2-1.0:i386 <none> 1.0.6-8.1
2019-11-20 12:16:00 status half-installed libbz2-1.0:i386 1.0.6-8.1
2019-11-20 12:16:00 status unpacked libbz2-1.0:i386 1.0.6-8.1
2019-11-20 12:16:00 status unpacked libbz2-1.0:i386 1.0.6-8.1
2019-11-20 12:16:01 install libc-bin:i386 <none> 2.24-11+deb9u4
2019-11-20 12:16:01 status half-installed libc-bin:i386 2.24-11+deb9u4
2019-11-20 12:16:01 status unpacked libc-bin:i386 2.24-11+deb9u4
2019-11-20 12:16:01 status unpacked libc-bin:i386 2.24-11+deb9u4
2019-11-20 12:16:01 upgrade libc6:i386 2.24-11+deb9u4 2.24-11+deb9u4
2019-11-20 12:16:01 status half-configured libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:01 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:01 status half-installed libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:02 status half-installed libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:02 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:02 status unpacked libc6:i386 2.24-11+deb9u4
2019-11-20 12:16:02 install libcap-ng0:i386 <none> 0.7.7-3+b1
2019-11-20 12:16:02 status half-installed libcap-ng0:i386 0.7.7-3+b1
2019-11-20 12:16:02 status unpacked libcap-ng0:i386 0.7.7-3+b1
2019-11-20 12:16:02 status unpacked libcap-ng0:i386 0.7.7-3+b1
2019-11-20 12:16:03 install libcomerr2:i386 <none> 1.43.4-2
2019-11-20 12:16:03 status half-installed libcomerr2:i386 1.43.4-2
2019-11-20 12:16:03 status unpacked libcomerr2:i386 1.43.4-2
2019-11-20 12:16:03 status unpacked libcomerr2:i386 1.43.4-2
2019-11-20 12:16:03 install libdb5.3:i386 <none> 5.3.28-12+deb9u1
2019-11-20 12:16:03 status half-installed libdb5.3:i386 5.3.28-12+deb9u1
2019-11-20 12:16:03 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2019-11-20 12:16:03 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2019-11-20 12:16:03 install libdebconfclient0:i386 <none> 0.227
2019-11-20 12:16:03 status half-installed libdebconfclient0:i386 0.227
2019-11-20 12:16:03 status unpacked libdebconfclient0:i386 0.227
2019-11-20 12:16:03 status unpacked libdebconfclient0:i386 0.227
2019-11-20 12:16:03 install libfdisk1:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:03 status half-installed libfdisk1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:04 status unpacked libfdisk1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:04 status unpacked libfdisk1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:04 install libgcc1:i386 <none> 1:6.3.0-18+deb9u1
2019-11-20 12:16:04 status half-installed libgcc1:i386 1:6.3.0-18+deb9u1
2019-11-20 12:16:04 status unpacked libgcc1:i386 1:6.3.0-18+deb9u1
2019-11-20 12:16:04 status unpacked libgcc1:i386 1:6.3.0-18+deb9u1
2019-11-20 12:16:04 install libgcrypt20:i386 <none> 1.7.6-2+deb9u3
2019-11-20 12:16:04 status half-installed libgcrypt20:i386 1.7.6-2+deb9u3
2019-11-20 12:16:04 status unpacked libgcrypt20:i386 1.7.6-2+deb9u3
2019-11-20 12:16:04 status unpacked libgcrypt20:i386 1.7.6-2+deb9u3
2019-11-20 12:16:04 install libgpg-error0:i386 <none> 1.26-2
2019-11-20 12:16:04 status half-installed libgpg-error0:i386 1.26-2
2019-11-20 12:16:05 status unpacked libgpg-error0:i386 1.26-2
2019-11-20 12:16:05 status unpacked libgpg-error0:i386 1.26-2
2019-11-20 12:16:05 install liblz4-1:i386 <none> 0.0~r131-2+b1
2019-11-20 12:16:05 status half-installed liblz4-1:i386 0.0~r131-2+b1
2019-11-20 12:16:05 status unpacked liblz4-1:i386 0.0~r131-2+b1
2019-11-20 12:16:05 status unpacked liblz4-1:i386 0.0~r131-2+b1
2019-11-20 12:16:05 install liblzma5:i386 <none> 5.2.2-1.2+b1
2019-11-20 12:16:05 status half-installed liblzma5:i386 5.2.2-1.2+b1
2019-11-20 12:16:05 status unpacked liblzma5:i386 5.2.2-1.2+b1
2019-11-20 12:16:05 status unpacked liblzma5:i386 5.2.2-1.2+b1
2019-11-20 12:16:05 install libmount1:i386 <none> 2.29.2-1+deb9u1
2019-11-20 12:16:05 status half-installed libmount1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:05 status unpacked libmount1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:05 status unpacked libmount1:i386 2.29.2-1+deb9u1
2019-11-20 12:16:06 install libncursesw5:i386 <none> 6.0+20161126-1+deb9u2
2019-11-20 12:16:06 status half-installed libncursesw5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:06 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:06 status unpacked libncursesw5:i386 6.0+20161126-1+deb9u2
2019-11-20 12:16:06 install libpam-modules:i386 <none> 1.1.8-3.6
2019-11-20 12:16:06 status half-installed libpam-modules:i386 1.1.8-3.6
2019-11-20 12:16:06 status unpacked libpam-modules:i386 1.1.8-3.6
2019-11-20 12:16:06 status unpacked libpam-modules:i386 1.1.8-3.6
