2018-11-22 11:30:31 startup archives install
2018-11-22 11:30:31 install base-passwd:i386 <none> 3.5.37
2018-11-22 11:30:31 status half-installed base-passwd:i386 3.5.37
2018-11-22 11:30:31 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:31 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:31 configure base-passwd:i386 3.5.37 3.5.37
2018-11-22 11:30:31 status unpacked base-passwd:i386 3.5.37
2018-11-22 11:30:31 status half-configured base-passwd:i386 3.5.37
2018-11-22 11:30:32 status installed base-passwd:i386 3.5.37
2018-11-22 11:30:32 startup archives install
2018-11-22 11:30:32 install base-files:i386 <none> 8+deb8u11
2018-11-22 11:30:32 status half-installed base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 configure base-files:i386 8+deb8u11 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status unpacked base-files:i386 8+deb8u11
2018-11-22 11:30:32 status half-configured base-files:i386 8+deb8u11
2018-11-22 11:30:32 status installed base-files:i386 8+deb8u11
2018-11-22 11:30:32 startup archives install
2018-11-22 11:30:32 upgrade dpkg 1.17.27 1.17.27
2018-11-22 11:30:32 status half-configured dpkg 1.17.27
2018-11-22 11:30:32 status unpacked dpkg 1.17.27
2018-11-22 11:30:32 status half-installed dpkg 1.17.27
2018-11-22 11:30:33 status half-installed dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 configure dpkg 1.17.27 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status unpacked dpkg 1.17.27
2018-11-22 11:30:33 status half-configured dpkg 1.17.27
2018-11-22 11:30:33 status installed dpkg 1.17.27
2018-11-22 11:30:33 startup archives install
2018-11-22 11:30:33 install libc6:i386 <none> 2.19-18+deb8u10
2018-11-22 11:30:33 status half-installed libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:34 status unpacked libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:34 status unpacked libc6:i386 2.19-18+deb8u10
2018-11-22 11:30:34 configure libc6:i386 2.19-18+deb8u10 2.19-18+deb8u10
2018-11-22 11:30:34 status unpacked libc6:i386 2.19-18+deb8u10
